Method,Scenario,Perturbation,Frames,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std,TLPIPS_mean,TLPIPS_std,TempConsistency_mean,TempConsistency_std
LaMa,drift-chicane,grow_3px,52,16.893573544605893,1.1216547315276968,0.34365037967398915,0.03776567026845597,0.655510319603814,0.05367499939662859,0.14463673732601678,0.0676111763373916,7.722931986955968,3.661293358129338
LaMa,drift-chicane,grow_7px,52,17.762214364379158,1.191784838990758,0.432013475128865,0.027595210705754224,0.5978805071268326,0.10454710918727304,0.1430072887417148,0.0639284607978666,7.135454562876905,3.1779223326091888
LaMa,drift-chicane,shift_5px,52,16.540046471328882,1.1663553902986183,0.30406913773160893,0.04432314208057807,0.6437401324510574,0.0704528930300837,0.15043969532208784,0.08470085152326444,7.881573371234319,4.056465104914249
LaMa,drift-chicane,shift_10px,52,16.844405947759856,1.2930098354532946,0.3298617653223929,0.04988736991093366,0.6415260761976243,0.07307739849046611,0.1510806319835995,0.08169525353050387,7.374717421559005,3.7614462847348187
LaMa,drift-straight,original,50,10.947326134465301,0.7704815869089451,0.31672296394751004,0.12169199425891213,0.5295536904893023,0.04290361632106555,0.2633589208126068,0.06287328039804249,25.130052823440288,7.363469845747463
LaMa,drift-straight,shrink_3px,50,10.91375671075707,0.782288944070147,0.2922239751547929,0.13057637316934717,0.5313643137613933,0.05000508362460139,0.2602657408130412,0.06149525133205125,25.26301165951395,7.68186058027904
LaMa,drift-straight,shrink_7px,50,10.955955369467956,0.849907821373814,0.26814970487627215,0.13727526378881638,0.5440105618465514,0.03726093077707482,0.2558146407206853,0.06164928930682487,25.373620531884388,8.025588088090519
LaMa,drift-straight,grow_3px,50,11.280046204250898,0.6851287846882247,0.3484807060517357,0.1063496237581479,0.5209240365028381,0.041851675243936626,0.2615411603937344,0.06311282455008232,24.90470403885778,6.9505069313936625
LaMa,drift-straight,grow_7px,50,11.736187052335795,0.6196643072613214,0.396487755491432,0.08295929402391695,0.4978039264678955,0.05550100961576789,0.26529948747887905,0.06369096859249213,24.57591142181667,6.448760401453471
LaMa,drift-straight,shift_5px,50,11.11353504016024,0.761377570789554,0.3237337133093524,0.11670107980179292,0.5231201699439515,0.04689400316451365,0.2608177205737756,0.062320529136350104,24.958090186211606,7.075094404418972
LaMa,drift-straight,shift_10px,50,11.315634220673076,0.7641752208261852,0.336205937726545,0.11262800097683637,0.5195099590940678,0.050905014862246134,0.2612799126274732,0.06561975864286591,25.043017914310035,7.323380701926909
LaMa,drift-turn,original,64,11.517010287425519,0.9703736089918217,0.2887709283914135,0.07677167868170653,0.6738982489332557,0.07707537956690654,0.27019216971737997,0.05787920299526168,15.325026224576824,6.521153599787899
LaMa,drift-turn,shrink_3px,64,11.512022395805435,0.9977446408633699,0.2627454613386823,0.08674218763194158,0.6829959833994508,0.08189704250142515,0.26834030520348323,0.05712146611484342,15.198219675110458,6.663842691306415
LaMa,drift-turn,shrink_7px,64,11.582064965952718,0.9935936441506859,0.2321394636258497,0.09501384421666506,0.6921369461342692,0.08887456499786366,0.2761243595963433,0.06904858897482553,14.8505855126932,6.808286261416244
LaMa,drift-turn,grow_3px,64,11.823733202838568,1.0237584502266623,0.319110360824679,0.06200353711246243,0.6643220670521259,0.07067770079268505,0.26364336458463516,0.05713240332240261,15.274163532514354,6.283877598295565
LaMa,drift-turn,grow_7px,64,12.24803986100075,1.1455258002925521,0.3639325545458677,0.03949269615425365,0.6527788182720542,0.0635976965082052,0.26390262728645686,0.050521537004236755,15.005459210179389,5.854509149791486
LaMa,drift-turn,shift_5px,64,11.668932412797437,1.003576873255006,0.292148688645966,0.07321832404709962,0.6710989982821047,0.07819133292297789,0.26985391832533334,0.058958751651447636,15.257885795847072,6.506181258187562
LaMa,drift-turn,shift_10px,64,11.820205563373506,1.054134474131198,0.30359016412157336,0.06505059908000167,0.6693889047019184,0.08231031153405442,0.2680178043388185,0.05720437910974526,14.999599721826169,6.237398193934135
LaMa,night-race,original,46,14.89202854716172,1.676568927457659,0.5335084978970839,0.0667694346959332,0.27640610900910006,0.0737991388764204,0.06293834447860717,0.03035691857628635,8.70185711809362,2.499921744317548
LaMa,night-race,shrink_3px,46,14.67755272119257,1.7712655762117233,0.5167670450435685,0.07093108213893622,0.2794710417156634,0.07631921633288578,0.061192508455779816,0.029916085652613455,8.923481469369152,2.6666857574854523
LaMa,night-race,shrink_7px,46,14.62791725106137,1.8170286083042426,0.49751342828422,0.07686165686496804,0.2909809252837809,0.07798476039595846,0.060200591757893565,0.029977190867736057,8.893230447998727,2.763880482987251
LaMa,night-race,grow_3px,46,15.314047390803037,1.5454662426984171,0.5533577291503392,0.06331439727982262,0.27186650718035904,0.07278087391513922,0.06350297058622043,0.031214768905682592,8.37738823457073,2.3079820961580975
LaMa,night-race,grow_7px,46,15.918597438421182,1.3919428395718487,0.5813140426652562,0.05886000771341169,0.2686467637186465,0.07029502791306934,0.06416928710209,0.03167643688344893,7.779244431042922,2.0830583700897103
LaMa,night-race,shift_5px,46,15.007311642974756,1.635657395000899,0.5378549106746607,0.06754801528963965,0.2755367017310599,0.07610987987470805,0.06169065021806293,0.03010507254269104,8.622367509293701,2.4939001152376568
LaMa,night-race,shift_10px,46,15.158820370316947,1.5980737227114372,0.5412640275061529,0.06857590054646262,0.27214148608238803,0.07678321154344389,0.06286716096931033,0.02969553369195829,8.539786381258605,2.4788216881765868
LaMa,rallye,original,50,6.779535623389275,0.9684127851167164,0.1254374407806448,0.10839834455717806,0.766535012345565,0.06255373752124681,0.23444109884175388,0.08057215713332769,13.419776292568438,8.478608027472614
LaMa,rallye,shrink_3px,50,6.6709976786297975,0.9715623051259051,0.10028692103571865,0.11350363272574565,0.7895022841060862,0.07445130023273001,0.26150485686957836,0.07329260916512996,13.028947808040932,8.927201531210564
LaMa,rallye,shrink_7px,50,7.337730992126709,1.3581664375223386,0.09077800242657748,0.11063897598530943,0.8142041842142741,0.06688968883114789,0.2836841511375764,0.056748359181335674,12.562050477804558,9.157299064514321
LaMa,rallye,grow_3px,50,7.4831579251766565,0.9920805924647041,0.18393487985476814,0.08678917127201005,0.747896515187763,0.06871752897912295,0.2104148443043232,0.0956725596022033,13.455545854120075,8.068887076476612
LaMa,rallye,grow_7px,50,8.453377720704628,1.2421253849669616,0.2923775883106613,0.0454797618412212,0.7074287152290344,0.06224016411110689,0.18804496601223947,0.09400538876982137,12.660363286772975,7.694036483409712
LaMa,rallye,shift_5px,50,6.9816593243841485,0.9469945875602757,0.13774872621358145,0.1042868046202833,0.7592594623565674,0.07087696432414095,0.2344362869520079,0.08784184277250494,13.25658405412196,8.472353192830495
LaMa,rallye,shift_10px,50,7.652065966746389,1.4286156394968308,0.19650879231495735,0.09501042921359579,0.7563453818622389,0.06932428636311852,0.23744624616070228,0.08640715146471742,12.605550034568946,7.53624738245631
